X1,X2,Y
88,97,1
29,87,1
9,40,0
19,79,0
58,62,1
5,5,0
63,14,0
62,7,0
88,71,1
7,53,0
55,58,1
79,61,1
96,61,1
16,26,0
30,19,0
7,74,0
94,45,1
79,76,1
80,41,1
52,66,1
9,49,0
14,78,0
96,72,1
92,91,1
46,15,0
84,9,0
69,66,1
98,28,1
67,28,0
38,42,0
41,56,0
26,72,0
49,49,0
42,32,0
25,70,0
6,83,0
37,88,1
40,33,0
70,4,0
71,29,0
9,49,0
66,46,1
6,91,0
99,54,1
47,11,0
81,42,1
49,2,0
44,21,0
81,28,0
58,79,1
25,41,0
26,44,0
52,51,1
99,62,1
43,14,0
30,100,1
92,63,1
71,20,0
10,31,0
8,17,0
74,76,1
37,35,0
76,88,1
97,69,1
82,52,1
9,12,0
4,31,0
88,12,0
57,45,1
67,55,1
97,14,0
17,77,0
33,1,0
57,27,0
53,30,0
73,76,1
73,75,1
37,24,0
11,3,0
23,12,0
60,82,1
96,68,1
68,55,1
62,93,1
77,55,1
82,18,0
94,50,1
52,95,1
51,31,0
13,25,0
73,60,1
56,39,0
83,19,0
83,85,1
3,1,0
9,39,0
99,92,1
63,6,0
93,96,1
58,71,1
