X1,X2,Y
59,54,1
42,29,0
66,78,0
73,10,0
25,41,0
86,88,0
88,83,0
83,73,0
76,70,0
24,95,0
1,79,0
4,70,0
18,58,0
48,76,0
27,37,0
7,66,0
76,28,0
5,93,0
27,73,0
65,14,0
20,92,0
100,57,0
100,26,0
44,97,0
22,88,0
51,34,1
20,53,0
87,47,0
83,4,0
87,62,0
19,78,0
68,11,0
0,36,0
28,46,0
13,82,0
5,11,0
38,1,0
75,14,0
60,53,1
46,35,1
90,52,0
69,72,1
2,39,0
57,11,0
86,58,0
74,13,0
1,26,0
95,14,0
73,47,1
67,92,0
64,12,0
6,91,0
99,89,0
88,47,0
41,81,0
9,9,0
2,21,0
54,83,0
44,0,0
99,39,0
0,77,0
74,80,0
90,71,0
94,36,0
96,24,0
42,1,0
20,18,0
72,3,0
1,15,0
90,59,0
52,100,0
29,87,0
25,80,0
88,9,0
57,28,0
67,4,0
60,44,1
25,22,0
42,11,0
94,29,0
100,67,0
49,62,1
71,21,0
95,12,0
44,73,1
65,93,0
12,42,0
13,16,0
39,68,1
84,44,0
17,84,0
52,7,0
79,51,0
9,13,0
6,43,0
36,70,1
64,79,0
52,53,1
85,10,0
64,12,0
